timestamp,elapsed_s,measured_v,current_mA,resistance,std_dev,stage
2026-05-25T18:05:29.708,0.000004,0.01446724,4.00000000,,,
2026-05-25T18:05:29.728,5.311983,0.01446665,4.00000000,,,
2026-05-25T18:05:29.748,5.331936,0.01446625,4.00000000,,,
2026-05-25T18:05:29.768,5.351938,0.01446605,4.00000000,,,
2026-05-25T18:05:29.788,5.371949,0.01446641,4.00000000,,,
2026-05-25T18:05:29.808,5.391959,0.01446617,4.00000000,,,
2026-05-25T18:05:29.828,5.411952,0.01446641,4.00000000,,,
2026-05-25T18:05:29.848,5.431963,0.01446653,4.00000000,,,
2026-05-25T18:05:29.868,5.451957,0.01446641,4.00000000,,,
2026-05-25T18:05:29.888,5.471925,0.01446593,4.00000000,,,
2026-05-25T18:05:29.908,5.491925,0.01446593,4.00000000,,,
2026-05-25T18:05:29.928,5.511913,0.01446557,4.00000000,,,
2026-05-25T18:05:29.948,5.531934,0.01446569,4.00000000,,,
2026-05-25T18:05:29.968,5.551925,0.01446605,4.00000000,,,
2026-05-25T18:05:29.988,5.571923,0.01446640,4.00000000,,,
2026-05-25T18:05:30.008,5.591951,0.01446652,4.00000000,,,
2026-05-25T18:05:30.028,5.611948,0.01446688,4.00000000,,,
2026-05-25T18:05:30.048,5.631934,0.01446688,4.00000000,,,
2026-05-25T18:05:30.068,5.651911,0.01446700,4.00000000,,,
2026-05-25T18:05:30.088,5.671912,0.01446712,4.00000000,,,
2026-05-25T18:05:30.108,5.691937,0.01446748,4.00000000,,,
2026-05-25T18:05:30.128,5.711912,0.01446736,4.00000000,,,
2026-05-25T18:05:30.148,5.731919,0.01446760,4.00000000,,,
2026-05-25T18:05:30.168,5.751947,0.01446760,4.00000000,,,
2026-05-25T18:05:30.188,5.771870,0.01446760,4.00000000,,,
2026-05-25T18:05:30.208,5.792068,0.01446736,4.00000000,,,
2026-05-25T18:05:30.228,5.811983,0.01446784,4.00000000,,,
2026-05-25T18:05:30.248,5.832271,0.01446784,4.00000000,,,
2026-05-25T18:05:30.268,5.852268,0.01446808,4.00000000,,,
2026-05-25T18:05:30.288,5.872278,0.01446831,4.00000000,,,
2026-05-25T18:05:30.308,5.892282,0.01446831,4.00000000,,,
2026-05-25T18:05:30.328,5.912102,0.01446808,4.00000000,,,
2026-05-25T18:05:30.348,5.932125,0.01446808,4.00000000,,,
2026-05-25T18:05:30.368,5.952003,0.01446784,4.00000000,,,
2026-05-25T18:05:30.388,5.971964,0.01446772,4.00000000,,,
2026-05-25T18:05:30.408,5.991923,0.01446772,4.00000000,,,
2026-05-25T18:05:30.428,6.011936,0.01446772,4.00000000,,,
2026-05-25T18:05:30.448,6.031886,0.01446760,4.00000000,,,
2026-05-25T18:05:30.468,6.051924,0.01446784,4.00000000,,,
2026-05-25T18:05:30.488,6.071902,0.01446796,4.00000000,,,
2026-05-25T18:05:30.508,6.091897,0.01446808,4.00000000,,,
2026-05-25T18:05:30.528,6.111903,0.01446784,4.00000000,,,
2026-05-25T18:05:30.548,6.131927,0.01446796,4.00000000,,,
2026-05-25T18:05:30.568,6.151880,0.01446808,4.00000000,,,
2026-05-25T18:05:30.588,6.171894,0.01446808,4.00000000,,,
2026-05-25T18:05:30.608,6.191911,0.01446808,4.00000000,,,
2026-05-25T18:05:30.628,6.211876,0.01446820,4.00000000,,,
2026-05-25T18:05:30.648,6.231876,0.01446843,4.00000000,,,
2026-05-25T18:05:30.668,6.251904,0.01446831,4.00000000,,,
2026-05-25T18:05:30.688,6.271919,0.01446808,4.00000000,,,
2026-05-25T18:05:30.708,6.291950,0.01446843,4.00000000,,,
2026-05-25T18:05:30.728,6.311878,0.01446915,4.00000000,,,
2026-05-25T18:05:30.748,6.331944,0.01446927,4.00000000,,,
2026-05-25T18:05:30.768,6.351929,0.01446939,4.00000000,,,
2026-05-25T18:05:30.788,6.371896,0.01446950,4.00000000,,,
2026-05-25T18:05:30.808,6.391896,0.01446939,4.00000000,,,
2026-05-25T18:05:30.828,6.412303,0.01446879,4.00000000,,,
2026-05-25T18:05:30.848,6.432236,0.01446867,4.00000000,,,
2026-05-25T18:05:30.868,6.451960,0.01446843,4.00000000,,,
2026-05-25T18:05:30.888,6.472245,0.01446843,4.00000000,,,
2026-05-25T18:05:30.908,6.492255,0.01446855,4.00000000,,,
2026-05-25T18:05:30.928,6.511993,0.01446915,4.00000000,,,
2026-05-25T18:05:30.948,6.531919,0.01446951,4.00000000,,,
2026-05-25T18:05:30.968,6.551886,0.01447022,4.00000000,,,
2026-05-25T18:05:30.988,6.572223,0.01447058,4.00000000,,,
2026-05-25T18:05:31.008,6.591929,0.01447058,4.00000000,,,
2026-05-25T18:05:31.028,6.611919,0.01446998,4.00000000,,,
2026-05-25T18:05:31.048,6.631923,0.01446974,4.00000000,,,
2026-05-25T18:05:31.068,6.651929,0.01446915,4.00000000,,,
2026-05-25T18:05:31.088,6.671862,0.01446855,4.00000000,,,
2026-05-25T18:05:31.108,6.691867,0.01446855,4.00000000,,,
2026-05-25T18:05:31.128,6.711884,0.01446879,4.00000000,,,
2026-05-25T18:05:31.148,6.731875,0.01446867,4.00000000,,,
2026-05-25T18:05:31.168,6.751875,0.01446879,4.00000000,,,
2026-05-25T18:05:31.188,6.771868,0.01446915,4.00000000,,,
2026-05-25T18:05:31.208,6.791987,0.01446903,4.00000000,,,
2026-05-25T18:05:31.228,6.811857,0.01446891,4.00000000,,,
2026-05-25T18:05:31.248,6.831883,0.01446891,4.00000000,,,
2026-05-25T18:05:31.268,6.851856,0.01446903,4.00000000,,,
2026-05-25T18:05:31.288,6.871867,0.01446915,4.00000000,,,
2026-05-25T18:05:31.308,6.891867,0.01446962,4.00000000,,,
2026-05-25T18:05:31.328,6.911871,0.01446962,4.00000000,,,
2026-05-25T18:05:31.348,6.931874,0.01446962,4.00000000,,,
2026-05-25T18:05:31.368,6.951845,0.01446974,4.00000000,,,
2026-05-25T18:05:31.388,6.971854,0.01446998,4.00000000,,,
2026-05-25T18:05:31.408,6.991853,0.01446962,4.00000000,,,
2026-05-25T18:05:31.428,7.011861,0.01446974,4.00000000,,,
2026-05-25T18:05:31.448,7.031888,0.01446974,4.00000000,,,
2026-05-25T18:05:31.468,7.051865,0.01446974,4.00000000,,,
2026-05-25T18:05:31.488,7.071867,0.01446950,4.00000000,,,
2026-05-25T18:05:31.508,7.091871,0.01446962,4.00000000,,,
2026-05-25T18:05:31.528,7.111889,0.01446950,4.00000000,,,
2026-05-25T18:05:31.547,7.131840,0.01446950,4.00000000,,,
2026-05-25T18:05:31.567,7.151822,0.01446962,4.00000000,,,
2026-05-25T18:05:31.588,7.171823,0.01446962,4.00000000,,,
2026-05-25T18:05:31.607,7.191854,0.01446962,4.00000000,,,
2026-05-25T18:05:31.628,7.211811,0.01446986,4.00000000,,,
2026-05-25T18:05:31.648,7.231843,0.01447034,4.00000000,,,
2026-05-25T18:05:31.668,7.251843,0.01447034,4.00000000,,,
2026-05-25T18:05:31.688,7.271894,0.01447046,4.00000000,,,
2026-05-25T18:05:31.708,7.291863,0.01447082,4.00000000,,,
2026-05-25T18:05:31.728,7.311838,0.01447117,4.00000000,,,
2026-05-25T18:05:31.748,7.331845,0.01447094,4.00000000,,,
2026-05-25T18:05:31.767,7.351851,0.01447094,4.00000000,,,
2026-05-25T18:05:31.787,7.371821,0.01447106,4.00000000,,,
2026-05-25T18:05:31.808,7.391824,0.01447094,4.00000000,,,
2026-05-25T18:05:31.828,7.411834,0.01447070,4.00000000,,,
2026-05-25T18:05:31.847,7.431876,0.01447070,4.00000000,,,
2026-05-25T18:05:31.867,7.451821,0.01447070,4.00000000,,,
2026-05-25T18:05:31.888,7.471826,0.01447058,4.00000000,,,
2026-05-25T18:05:31.908,7.491855,0.01447034,4.00000000,,,
2026-05-25T18:05:31.927,7.511871,0.01447046,4.00000000,,,
2026-05-25T18:05:31.948,7.531826,0.01447046,4.00000000,,,
2026-05-25T18:05:31.968,7.551842,0.01447046,4.00000000,,,
2026-05-25T18:05:31.988,7.571876,0.01447070,4.00000000,,,
2026-05-25T18:05:32.008,7.591835,0.01447094,4.00000000,,,
2026-05-25T18:05:32.027,7.611833,0.01447094,4.00000000,,,
2026-05-25T18:05:32.047,7.631800,0.01447117,4.00000000,,,
2026-05-25T18:05:32.068,7.651815,0.01447129,4.00000000,,,
2026-05-25T18:05:32.088,7.671858,0.01447153,4.00000000,,,
2026-05-25T18:05:32.108,7.691848,0.01447153,4.00000000,,,
2026-05-25T18:05:32.128,7.711841,0.01447177,4.00000000,,,
2026-05-25T18:05:32.147,7.732331,0.01447153,4.00000000,,,
2026-05-25T18:05:32.168,7.751804,0.01447141,4.00000000,3.61756337,0.00000079,
