timestamp,elapsed_s,measured_v,current_mA,resistance,std_dev,stage,stage_changed
2026-05-26T15:36:17.302,0.000002,0.01786411,4.00000000,,,0,false
2026-05-26T15:36:17.322,5.312752,0.01786381,4.00000000,,,0,false
2026-05-26T15:36:17.342,5.332723,0.01786371,4.00000000,,,0,false
2026-05-26T15:36:17.362,5.352717,0.01786381,4.00000000,,,0,false
2026-05-26T15:36:17.382,5.372715,0.01786387,4.00000000,,,0,false
2026-05-26T15:36:17.402,5.392705,0.01786375,4.00000000,,,0,false
2026-05-26T15:36:17.422,5.412742,0.01786399,4.00000000,,,0,false
2026-05-26T15:36:17.442,5.432730,0.01786399,4.00000000,,,0,false
2026-05-26T15:36:17.462,5.452698,0.01786423,4.00000000,,,0,false
2026-05-26T15:36:17.482,5.472711,0.01786435,4.00000000,,,0,false
2026-05-26T15:36:17.502,5.492700,0.01786483,4.00000000,,,0,false
2026-05-26T15:36:17.522,5.512701,0.01786471,4.00000000,,,0,false
2026-05-26T15:36:17.542,5.532697,0.01786518,4.00000000,,,0,false
2026-05-26T15:36:17.562,5.552759,0.01786507,4.00000000,,,0,false
2026-05-26T15:36:17.582,5.572761,0.01786507,4.00000000,,,0,false
2026-05-26T15:36:17.602,5.592719,0.01786507,4.00000000,,,0,false
2026-05-26T15:36:17.622,5.612761,0.01786507,4.00000000,,,0,false
2026-05-26T15:36:17.642,5.632760,0.01786459,4.00000000,,,0,false
2026-05-26T15:36:17.662,5.652728,0.01786447,4.00000000,,,0,false
2026-05-26T15:36:17.682,5.672697,0.01786459,4.00000000,,,0,false
2026-05-26T15:36:17.702,5.692698,0.01786447,4.00000000,,,0,false
2026-05-26T15:36:17.722,5.712731,0.01786447,4.00000000,,,0,false
2026-05-26T15:36:17.742,5.732721,0.01786482,4.00000000,,,0,false
2026-05-26T15:36:17.762,5.752720,0.01786482,4.00000000,,,0,false
2026-05-26T15:36:17.782,5.772674,0.01786459,4.00000000,,,0,false
2026-05-26T15:36:17.802,5.792884,0.01786471,4.00000000,,,0,false
2026-05-26T15:36:17.822,5.812680,0.01786494,4.00000000,,,0,false
2026-05-26T15:36:17.842,5.832767,0.01786494,4.00000000,,,0,false
2026-05-26T15:36:17.862,5.852685,0.01786518,4.00000000,,,0,false
2026-05-26T15:36:17.882,5.872717,0.01786542,4.00000000,,,0,false
2026-05-26T15:36:17.902,5.892720,0.01786530,4.00000000,,,0,false
2026-05-26T15:36:17.922,5.912716,0.01786494,4.00000000,,,0,false
2026-05-26T15:36:17.942,5.932695,0.01786470,4.00000000,,,0,false
2026-05-26T15:36:17.962,5.952690,0.01786447,4.00000000,,,0,false
2026-05-26T15:36:17.982,5.972654,0.01786399,4.00000000,,,0,false
2026-05-26T15:36:18.002,5.992649,0.01786399,4.00000000,,,0,false
2026-05-26T15:36:18.022,6.012661,0.01786423,4.00000000,,,0,false
2026-05-26T15:36:18.042,6.032683,0.01786459,4.00000000,,,0,false
2026-05-26T15:36:18.062,6.052688,0.01786471,4.00000000,,,0,false
2026-05-26T15:36:18.082,6.072660,0.01786507,4.00000000,,,0,false
2026-05-26T15:36:18.102,6.092721,0.01786495,4.00000000,,,0,false
2026-05-26T15:36:18.122,6.112653,0.01786495,4.00000000,,,0,false
2026-05-26T15:36:18.142,6.132732,0.01786483,4.00000000,,,0,false
2026-05-26T15:36:18.162,6.152648,0.01786483,4.00000000,,,0,false
2026-05-26T15:36:18.182,6.172709,0.01786471,4.00000000,,,0,false
2026-05-26T15:36:18.202,6.192639,0.01786471,4.00000000,,,0,false
2026-05-26T15:36:18.222,6.212649,0.01786483,4.00000000,,,0,false
2026-05-26T15:36:18.242,6.232675,0.01786483,4.00000000,,,0,false
2026-05-26T15:36:18.262,6.252688,0.01786494,4.00000000,,,0,false
2026-05-26T15:36:18.282,6.272673,0.01786494,4.00000000,,,0,false
2026-05-26T15:36:18.302,6.292730,0.01786494,4.00000000,,,0,false
2026-05-26T15:36:18.322,6.312692,0.01786494,4.00000000,4.46615856,0.00000043,1,true
2026-05-26T15:36:18.342,6.332865,0.01786494,4.00000000,,,1,false
2026-05-26T15:36:19.441,6.352677,0.02118611,8.00000000,2.24076861,0.00044779,2,true
2026-05-26T15:36:19.461,7.451721,0.02450764,8.00000000,,,2,false
2026-05-26T15:36:20.560,7.471430,0.03085017,12.00000000,1.52287180,0.00195658,3,true
2026-05-26T15:36:20.580,8.570843,0.03719258,12.00000000,,,3,false
2026-05-26T15:36:21.680,8.590823,0.04056728,20.00000000,0.94924976,0.00423443,3,false
